Course,SAV_Demand,SAV_Sections,ATL_Demand,ATL_Sections,SCADnow_Demand,SCADnow_Sections,Total_Demand,Total_Sections
FOUN 110,219,13,0,0,95,6,314,19
FOUN 111,521,29,11,1,73,5,605,35
FOUN 112,1624,91,203,12,136,8,1963,111
FOUN 113,761,43,181,11,114,7,1056,61
FOUN 220,678,38,135,8,39,3,852,49
FOUN 222,5,1,0,0,0,0,5,1
FOUN 230,169,10,0,0,27,2,196,12
FOUN 240,252,14,0,0,57,4,309,18
FOUN 245,101,6,36,2,37,3,174,11
FOUN 250,224,13,0,0,38,3,262,16
FOUN 251,179,10,0,0,71,4,250,14
FOUN 260,36,2,0,0,0,0,36,2
FOUN 261,5,1,0,0,0,0,5,1
FOUN 331,0,0,0,0,0,0,0,0
FOUN 520,0,0,0,0,0,0,0,0
